offerid,category,class,subclass,brand,name
1000627662,Plumbing,Accessories,Connection pipe,Futura,Futura NW - 048A Stainless Steel 304 Grade 18 in. Connection pipe
1017669698,Lighting & Fans,Lighting Accessories,LED Strip Light Driver,Elite,Elite 10 A 120 W LED Strip Light Driver
1007368558,Hardware,Other Hardware,Basket,EBCO,EBCO PWB-16-20-08 412 mm x 496 mm x 200 mm Plastic Basket
1017769211,Kitchen & Bath,Counter Tops,Quartz,Kalinga Stone,Kalinga Stone Tundra 3150 mm x 725 mm Quartz
1018029902,Hardware,Cabinet Hardware,Cabinet Handle,Apace,Apace H169160ANAPCHA Antique 6 in. Cabinet Handle
1017915297,Plumbing,Accessories,Fastening & Clamp,Unbranded,4 in. GI U Clamp
1017786517,Paints,Waterproofing,Wall Waterproofing,Asian Paints,Asian Paints Smartcare Damp Sheath Interior White 20 L Wall Waterproofing
1016133752,Plumbing,Fittings,Water Pipe Fitting,Zoloto,Zoloto 2 in. (50 mm) Forged Brass Check Valve/NRV
1014782846,Boards & Laminates,Laminates,Decorative Laminates,Virgo,Virgo 2903 Brown Brooks Walnut SF 0.8 mm Decorative Laminates
1017944296,Flooring,Vitrified Tiles,Vitrified Floor Tile,Varmora,Varmora Piedra Verde 1800 mm x 1200 mm GVT
1017121326,Lighting & Fans,Fan,Ceiling Fan,V-Guard,V-Guard 1200mm Enlace VX (Snow White Rose) Ceiling Fan
1017921193,Hardware,Cabinet Hardware,Cabinet Knob,Apace,Apace 255MEDCONICKN Rose Gold Cabinet Knob
1017069692,Hardware,Cabinet Hardware,Cabinet Handle,Unbranded,Unbranded Silver 6 in. Pull Handle
1015005297,Hardware,Door Hardware,Door Hinge,Unbranded,Unbranded Silver 4 in. x 1/2 in. x 12 mm Brass
1017002948,Hardware,Other Hardware,Gate hook,Apace,Apace APK186PANAPKHU Antique  6 Pin . Hanger
1017972304,Hardware,Door Hardware,Door Accessory,Apace,Apace APK26GDAPKHU Gold   Key Hanger
1015000192,Hardware,Fasteners,Screw,Unbranded,Unbranded Mild Steel Flat Head 32 mm x 4.2 mm Screw
1017946721,Hardware,Kitchen Hardware,Kitchen Accessory,Apace,Apace APKJANO1146SS 6 in. Aluminium Jaali
