offer id,category,class,subclass,brand,name
1017818199,Hardware,Door Hardware,Door Hinge,Victor,Victor VSRH6118532AN Antique 6x1.1/8x5/32 Brass Door Hinge
1017752846,Electricals,Wires & Cables,Low Tension Wire,Polycab,Polycab Green Wire+ 1.5 sq mm Black 90 m FR PVC Insulated Wire
1017675394,Power & Hand Tools,Power Tools,Angle Grinder,Bosch,Bosch GWS 800 800 watts 100 mm Angle Grinder
1017948523,Hardware,Door Hardware,Door Handle,Crane,Crane CNHAD6SS SS Matte 6 in. Aluminium Door Handle
1017917988,Electricals,Switches and Sockets,Switch,GM,GM G-Nine Genia Glossy White 1 Way 6 A Modular Switch
1000696661,Paints,Exterior Paints,Exterior Emulsion - Color,Asian Paints,Asian Paints Ace 1 L White Exterior Emulsion - Color
1018807876,Power & Hand Tools,Hand Tools,Measuring & Layout Tool,Stanley,Stanley Stht77801-A 40 meter Professional Laser Distance Meter
1018704359,Lighting & Fans,Light Bulbs,LED Bulb,Panasonic,Panasonic 4W E27 3000k Lens Candle Lamp LED Bulb
1000679531,Plywood & Laminates,Adhesives,Woodwork Adhesive,Feviseal,Feviseal White 280 ml Interior Sealant
1017785451,Construction Materials,Masonry Tools,Masonry Tools,Unbranded,GI Ghamela
1018177691,Plumbing,Fittings,Water Pipe Fitting,METRO,METRO 1/2 in. (15 mm) Forged Brass Forged Brass Ball Valve
1017949302,Hardware,Door Hardware,Door Handle,Apace,Apace H3764ANAPCHA Antique 3 in. Aluminium Door Handle
1017915018,Plumbing,Accessories,Fastening & Clamp,Unbranded,2 in. UPVC Powder Coated Clamp
1017771845,Plumbing,Accessories,Waste pipe,Futura,Futura NW - 068 PVC Waste Pipe
1016866929,Hardware,Other Hardware,Wardobe Accessory,EBCO,EBCO WRF-RA-2-AC Aluminium 2 m Wardobe Accessory
1018786996,Bath,Bath Faucets,Angle Valve,Belza,BELZA NOVA 2 WAY ANGLE VALVE
1017665315,Power & Hand Tools,Hand Tools,Microfiber Cloth,Woscher,Woscher 40 x 40 cm 350 gsm 4pc Microfiber Cloth
1018279337,Paints,Interior Paints,Interior Emulsion - Base,BIRLA opus,BIRLA opus CS 6 Style Color Smart Organic Red 900 ml Interior Emulsion - Base
1018778921,Appliances,Hobs & Chimney,Chimney,Prestige,Prestige Oscar Safe Sense Plus 60cm Chimney & installation kit
1016994939,Hardware,Curtain Hardware,Curtain Finial,Apace,Apace 549ANAPOBR Antique Curtain Finial
1018264943,Paints,Metal Paints,Enamel-Color,BIRLA opus,BIRLA opus SGE 60 Calista Sparkle Gloss 1 L Ad Grey Enamel-Color
1000163605,Power & Hand Tools,Power Tools Accessories,Drill Bit,Bosch,Bosch 2607010608 X-Line 34pcs Drill Bit And Driver Set
1017915775,Plumbing,Accessories,Fastening & Clamp,Unbranded,3/4 in. GI Step Clamp
1018712257,Lighting & Fans,Outdoor Lighting,Wall Light,Sturlite,Sturlite 3W RGB ( LG-0326-1W-3) Revel 3 Way Wall Light
1014981325,Hardware,Other Hardware,Skirting,EBCO,EBCO PVC 100 mm Skirting
1017874105,Plumbing,Tanks,Overhead Tank,Ideal,Ideal 3 Layer White 1500 L Overhead Tank
1000635047,Power & Hand Tools,Garden Tools,Sprayer,Natures Plus,Natures Plus 2.2 L Multi Purpose Sprayers
1016770711,Plumbing,Fittings,Water Pipe Fitting,Supreme,Supreme 1 in. (25 mm) CPVC Bend
1000723968,Electricals,Wires & Cables,Low Tension Wire,Finolex,Finolex Gold 6 sq mm Black 90 m FR PVC Insulated Wire
1017644303,Lighting & Fans,Light Bulbs,LED Bulb,Philips,Philips 40W B22 6500K LED Bulb
1017781591,Plywood & Laminates,Plywood & Blockboard,Plywood,TumsPly,TumsPly Rocket 7 ft. x 4 ft. 18 mm BWR Plywood
1016834916,Plumbing,Fittings,Agriculture Fitting,Supreme,Supreme 2 in. (63 mm) 4 Kg/cm sq Coupler Agriculture Fitting
1018837687,Power & Hand Tools,Kitchenware,Kitchen Tools,Petals,Petals Wooden Spatula Set Of 3
1017737531,Bath,Bath Faucets,Angle Valve,Parryware,Parryware T9828A1 Trigon 1-way Angle Valve
1016187091,Lighting & Fans,Light Bulbs,LED Bulb,Panasonic,Panasonic 9W E27 3000K LED Bulb
1016994006,Hardware,Curtain Hardware,Curtain Finial,Apace,Apace 567BHWDAPOBR Brown Curtain Finial
1015007909,Bath,Bath Faucets,Shower Head,Parryware,"Parryware T9809A1 125 mm (5"") Single Flow Shower Head with Arm- Round"
1017804927,Lighting & Fans,Fan,Table Fan,Havells,Havells 300mm 3 Blade Ciera (Ivory) Cabin Wall Fans
1017737453,Bath,Bath Faucets,Bib Tap,Parryware,Parryware Single Lever Bib Tap
1017736528,Power & Hand Tools,Power Tools,Glue Gun,Inzo,Inzo Glue Gun 60Watts
1017920857,Hardware,Cabinet Hardware,Cabinet Handle,Nimmi,Nimmi 3343160BSNNICHA Silver 6 in. Cabinet Handle
1014816718,Electricals,Wires & Cables,Low Tension Wire,Orbit,Orbit FR 2.5 sq mm Blue 90 m FR PVC Insulated Wire
1017852003,Electricals,Wires & Cables,Low Tension Wire,RR Kabel,RR Kabel Superex Green HR+FR 2.5 sq mm Green 90 m FR PVC Insulated Wire
1000357757,Electricals,Wires & Cables,Low Tension Wire,Finolex,Finolex Silver 6 sq mm Yellow 90 m FR PVC Insulated Wire
1017090181,Hardware,Cabinet Hardware,Cabinet Handle,FTC Shree,FTC Shree F-1289 Antique 6 in. Cabinet Handle
1017884895,Plumbing,Fittings,Water Pipe Fitting,Supreme,Supreme Aqua Gold 3/4 in. (20 mm) UPVC FTA (Female Thread Adaptor)
1018175321,Electricals,Switches and Sockets,Lamp Holder,Anchor,Anchor Smart Anchor B22 Angle Holder
1000638941,Electricals,Circuit Breakers,MCB,Legrand,Legrand RX3 Single Pole 10 A B Curve MCB
1006156187,Bath,Bath Accessories,Waste Coupling,Goeka,Goeka WC-11 32 mm 5 in. Full Threaded SS Waste Coupling
1017644125,Lighting & Fans,Light Bulbs,LED Bulb,Panasonic,Panasonic 3W E27 3000K LED Bulb
1014815039,Hardware,Cabinet Hardware,Cabinet Hinge,EBCO,EBCO Euro - Slip On 4 HMP Inset / 16 Crank Regular Close Cabinet Hinge
1017776963,Power & Hand Tools,Household Cleaning,Cleaning Tools,Scotch-Brite,Scotch-Brite Steel & Scurb Combo
1017677685,Power & Hand Tools,Power Tools Accessories,Drill Bit,Taparia,Taparia HDC 10160 SDS Plus 10x100x160mm Cross Tip Hammer Drill Bit
1017914306,Hardware,Door Hardware,Tower Bolt,Crane,Crane CNTBXYLO610AN Antique 6 in. Aluminium Tower Bolt
1017739609,Bath,Wash Basins,Table Top Basin,Parryware,Parryware C897446 Refine 410 x 410 x 145 mm Thin Rim Table Top Basin
1018279348,Paints,Interior Paints,Interior Emulsion - Base,BIRLA opus,BIRLA opus CS 6 Style Color Smart Organic Red 3.6 L Interior Emulsion - Base
1018049468,Bath,Bath Faucets,Diverter,Parryware,Parryware Alpha G272KA1 High Flow Diverter
1000605282,Bath,Toilets,Flush Plate,Geberit,Geberit ALPHA 25 115.045.46.3 Matt Chrome Dual Square Flush Plate
1017874227,Plumbing,Tanks,Overhead Tank,Ideal,Ideal 3 Layer Yellow 750 L Overhead Tank
